Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,Species Population
ACAD-1258,Acadia National Park,Bird,Passeriformes,Fringillidae,Loxia curvirostra,Red Crossbill,Approved,Present,Native,Abundant,Breeder,Species of Concern,146
ACAD-1266,Acadia National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,Approved,Present,Native,Abundant,Breeder,Species of Concern,114
ACAD-1388,Acadia National Park,Bird,Piciformes,Picidae,Picoides pubescens,"Downy Woodpecker, Northern Downy Woodpecker",Approved,Present,Native,Abundant,Breeder,Species of Concern,112
ACAD-1416,Acadia National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,"Double-Crested Cormorant, Northern Double-Crested Cormorant",Approved,Present,Native,Abundant,Resident,Species of Concern,199
BIBE-1110,Big Bend National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,140
BIBE-1156,Big Bend National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,Approved,Present,Native,Abundant,Breeder,Species of Concern,56
BIBE-1393,Big Bend National Park,Bird,Passeriformes,Troglodytidae,Campylorhynchus brunneicapillus,Cactus Wren,Approved,Present,Native,Abundant,Breeder,Species of Concern,62
BIBE-1435,Big Bend National Park,Bird,Passeriformes,Tyrannidae,Pyrocephalus rubinus,Vermilion Flycatcher,Approved,Present,Native,Abundant,Breeder,Species of Concern,195
BISC-1257,Biscayne National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,Double-Crested Cormorant,Approved,Present,Native,Abundant,Breeder,Species of Concern,37
BLCA-1150,Black Canyon of the Gunnison National Park,Bird,Passeriformes,Emberizidae,Pipilo chlorurus,Green-Tailed Towhee,Approved,Present,Native,Abundant,Resident,Species of Concern,178
CANY-1022,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Antrozous pallidus,Pallid Bat,Approved,Present,Native,Abundant,Resident,Species of Concern,17
CANY-1029,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis californicus,California Myotis,Approved,Present,Native,Abundant,Resident,Species of Concern,151
CANY-1036,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Abundant,Resident,Species of Concern,125
CARE-1238,Capitol Reef National Park,Bird,Passeriformes,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Present,Native,Abundant,Breeder,Species of Concern,152
CARE-1356,Capitol Reef National Park,Fish,Cypriniformes,Cyprinidae,Snyderichthys copei,Leatherside Chub,Approved,Present,Not Native,Abundant,Breeder,Species of Concern,49
CHIS-1151,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Limosa fedoa,Marbled Godwit,Approved,Present,Native,Abundant,Migratory,Species of Concern,180
CHIS-1361,Channel Islands National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,Brown Pelican,Approved,Present,Native,Abundant,Breeder,In Recovery,192
CONG-1043,Congaree National Park,Bird,Accipitriformes,Accipitridae,Buteo lineatus,Red-Shouldered Hawk,Approved,Present,Native,Abundant,Breeder,Species of Concern,189
CONG-1225,Congaree National Park,Bird,Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,Approved,Present,Native,Abundant,Breeder,Species of Concern,53
CUVA-1263,Cuyahoga Valley National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,Great Blue Heron,Approved,Present,Native,Abundant,Breeder,Species of Concern,88
DEVA-1021,Death Valley National Park,Mammal,Carnivora,Canidae,Canis latrans,Coyote,Approved,Present,Native,Abundant,Breeder,Species of Concern,63
EVER-1247,Everglades National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,Approved,Present,Native,Abundant,Resident,Species of Concern,115
EVER-1372,Everglades National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus erythrorhynchos,American White Pelican,Approved,Present,Native,Abundant,Resident,Species of Concern,83
EVER-1373,Everglades National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,Brown Pelican,Approved,Present,Native,Abundant,Breeder,In Recovery,79
EVER-1407,Everglades National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,Double-Crested Cormorant,Approved,Present,Native,Abundant,Breeder,Species of Concern,123
EVER-1455,Everglades National Park,Reptile,Testudines,Cheloniidae,Chelonia mydas,"Common Green Sea Turtle, Green Sea Turtle",Approved,Present,Native,Abundant,Resident,Endangered,5
GLBA-1197,Glacier Bay National Park and Preserve,Bird,Gaviiformes,Gaviidae,Gavia immer,Common Loon,Approved,Present,Native,Abundant,Breeder,Species of Concern,99
GRBA-1473,Great Basin National Park,Reptile,Squamata,Iguanidae,Sceloporus graciosus graciosus,Northern Sagebush Lizard,Approved,Present,Native,Abundant,Breeder,Species of Concern,14
GRCA-1135,Grand Canyon National Park,Bird,Anseriformes,Anatidae,Aythya affinis,Lesser Scaup,Approved,Present,Native,Abundant,Winter,Species of Concern,83
GRCA-1275,Grand Canyon National Park,Bird,Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Pinyon Jay,Approved,Present,Native,Abundant,Breeder,Species of Concern,84
GRSM-2288,Great Smoky Mountains National Park,Vascular Plant,Ericales,Ericaceae,Monotropa uniflora,"Indian Pipe, Indian-Pipe",Approved,Present,Native,Abundant,,Species of Concern,16
GRTE-1008,Grand Teton National Park,Mammal,Carnivora,Canidae,Canis latrans,Coyote,Approved,Present,Native,Abundant,Breeder,Species of Concern,128
GRTE-1034,Grand Teton National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis, Little Brown Myotis",Approved,Present,Native,Abundant,Breeder,Species of Concern,158
GRTE-1230,Grand Teton National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,Approved,Present,Native,Abundant,Breeder,Species of Concern,115
GRTE-1371,Grand Teton National Park,Fish,Scorpaeniformes,Cottidae,Cottus bairdii,Mottled Sculpin,Approved,Present,Native,Abundant,Breeder,Species of Concern,32
HOSP-1068,Hot Springs National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,73
ISRO-1222,Isle Royale National Park,Bird,Passeriformes,Parulidae,Vermivora ruficapilla,Nashville Warbler,Approved,Present,Native,Abundant,Breeder,Species of Concern,84
JOTR-1025,Joshua Tree National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Abundant,,Species of Concern,47
JOTR-1049,Joshua Tree National Park,Mammal,Rodentia,Heteromyidae,Chaetodipus fallax,San Diego Pocket Mouse,Approved,Present,Native,Abundant,Breeder,Species of Concern,196
KATM-1231,Katmai National Park and Preserve,Bird,Passeriformes,Parulidae,Wilsonia pusilla,Wilson's Warbler,Approved,Present,Native,Abundant,Breeder,Species of Concern,55
KATM-1301,Katmai National Park and Preserve,Fish,Salmoniformes,Salmonidae,Oncorhynchus kisutch,"Coho Salmon, Silver Salmon",Approved,Present,Native,Abundant,Breeder,Threatened,45
KEFJ-1016,Kenai Fjords National Park,Mammal,Carnivora,Otariidae,Eumetopias jubatus,"Northern Sea Lion, Sea Lion, Steller's Sea Lion",Approved,Present,Native,Abundant,Resident,Endangered,7
LACL-1277,Lake Clark National Park and Preserve,Fish,Salmoniformes,Salmonidae,Oncorhynchus kisutch,Silver Salmon,Approved,Present,Native,Abundant,Breeder,Threatened,23
MACA-1064,Mammoth Cave National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,49
MACA-1251,Mammoth Cave National Park,Bird,Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,Approved,Present,Native,Abundant,Breeder,Species of Concern,184
MACA-1255,Mammoth Cave National Park,Bird,Piciformes,Picidae,Picoides pubescens,Downy Woodpecker,Approved,Present,Native,Abundant,Breeder,Species of Concern,122
MACA-1270,Mammoth Cave National Park,Reptile,Squamata,Colubridae,Diadophis punctatus,Ringneck Snake,Approved,Present,Native,Abundant,Breeder,Species of Concern,80
MEVE-1100,Mesa Verde National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,141
MEVE-1179,Mesa Verde National Park,Bird,Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Pinyon Jay,Approved,Present,Native,Abundant,Breeder,Species of Concern,99
MEVE-1191,Mesa Verde National Park,Bird,Passeriformes,Emberizidae,Pipilo chlorurus,Green-Tailed Towhee,Approved,Present,Native,Abundant,Breeder,Species of Concern,52
MEVE-1274,Mesa Verde National Park,Bird,Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,Approved,Present,Native,Abundant,Breeder,Species of Concern,64
OLYM-1270,Olympic National Park,Bird,Passeriformes,Fringillidae,Loxia curvirostra,Red Crossbill,Approved,Present,Native,Abundant,Breeder,Species of Concern,97
OLYM-1387,Olympic National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,Double-Crested Cormorant,Approved,Present,Native,Abundant,Breeder,Species of Concern,16
OLYM-1409,Olympic National Park,Amphibian,Caudata,Plethodontidae,Plethodon vehiculum,Western Red-Backed Salamander,Approved,Present,Native,Abundant,Breeder,Species of Concern,30
OLYM-1465,Olympic National Park,Fish,Salmoniformes,Salmonidae,Oncorhynchus kisutch,Coho Salmon,Approved,Present,Native,Abundant,Breeder,Threatened,42
PEFO-1206,Petrified Forest National Park,Bird,Passeriformes,Laniidae,Lanius ludovicianus,Loggerhead Shrike,Approved,Present,Native,Abundant,Breeder,Species of Concern,168
PINN-1004,Pinnacles National Park,Mammal,Carnivora,Canidae,Canis latrans,Coyote,Approved,Present,Native,Abundant,Breeder,Species of Concern,90
PINN-1020,Pinnacles National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Approved,Present,Native,Abundant,Breeder,Species of Concern,122
PINN-1033,Pinnacles National Park,Mammal,Chiroptera,Vespertilionidae,Myotis yumanensis,"Yuma Myotis, Yuma Myotis",Approved,Present,Native,Abundant,Resident,Species of Concern,85
PINN-1034,Pinnacles National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Abundant,Breeder,Species of Concern,13
PINN-1073,Pinnacles National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,159
PINN-1122,Pinnacles National Park,Bird,Passeriformes,Corvidae,Pica nuttalli,Yellow-Billed Magpie,Approved,Present,Native,Abundant,Breeder,Species of Concern,35
REDW-1238,Redwood National Park,Bird,Charadriiformes,Alcidae,Brachyramphus marmoratus,Marbled Murrelet,Approved,Present,Native,Abundant,Breeder,Threatened,22
REDW-1459,Redwood National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,Approved,Present,Native,Abundant,Breeder,Species of Concern,46
REDW-1652,Redwood National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,Double-Crested Cormorant,Approved,Present,Native,Abundant,Breeder,Species of Concern,107
REDW-1697,Redwood National Park,Amphibian,Anura,Leiopelmatidae,Ascaphus truei,Tailed Frog,Approved,Present,Native,Abundant,Breeder,Species of Concern,17
REDW-1707,Redwood National Park,Amphibian,Caudata,Ambystomatidae,Dicamptodon tenebrosus,Pacific Giant Salamander,Approved,Present,Native,Abundant,Breeder,Species of Concern,190
SEKI-1029,Sequoia and Kings Canyon National Parks,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Approved,Present,Native,Abundant,Breeder,Species of Concern,95
SEKI-1355,Sequoia and Kings Canyon National Parks,Fish,Salmoniformes,Salmonidae,Oncorhynchus mykiss,Rainbow Trout,Approved,Present,Native,Abundant,Breeder,Threatened,33
SHEN-1445,Shenandoah National Park,Fish,Scorpaeniformes,Cottidae,Cottus bairdii,Mottled Sculpin,Approved,Present,Native,Abundant,Breeder,Species of Concern,200
VOYA-1351,Voyageurs National Park,Fish,Osmeriformes,Osmeridae,Osmerus mordax,Rainbow Smelt,Approved,Present,Not Native,Abundant,Breeder,Species of Concern,18
YELL-1009,Yellowstone National Park,Mammal,Carnivora,Canidae,Canis latrans,Coyote,Approved,Present,Native,Abundant,Breeder,Species of Concern,50
YELL-1037,Yellowstone National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis, Little Brown Myotis",Approved,Present,Native,Abundant,Breeder,Species of Concern,35
YELL-1421,Yellowstone National Park,Amphibian,Anura,Ranidae,Rana luteiventris,Columbia Spotted Frog,Approved,Present,Native,Abundant,Breeder,Species of Concern,89
YELL-1438,Yellowstone National Park,Fish,Salmoniformes,Salmonidae,Oncorhynchus mykiss,Rainbow Trout,Approved,Present,Not Native,Abundant,Breeder,Threatened,20
YELL-1444,Yellowstone National Park,Fish,Scorpaeniformes,Cottidae,Cottus bairdii,Mottled Sculpin,Approved,Present,Native,Abundant,Breeder,Species of Concern,138
YELL-2396,Yellowstone National Park,Vascular Plant,Pinales,Pinaceae,Pinus albicaulis,"Scrub Pine, White Pine, Whitebark Pine",Approved,Present,Native,Abundant,,Under Review,81
YOSE-2529,Yosemite National Park,Vascular Plant,Pinales,Pinaceae,Pinus albicaulis,"Scrub Pine, White Pine, Whitebark Pine",Approved,Present,Native,Abundant,,Under Review,42
ACAD-1002,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote",Approved,Present,Not Native,Common,Resident,Species of Concern,45
ACAD-1024,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Approved,Present,Native,Common,,Species of Concern,45
ACAD-1026,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Approved,Present,Native,Common,,Species of Concern,129
ACAD-1057,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Approved,Present,Native,Common,Breeder,Species of Concern,179
ACAD-1065,Acadia National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery,31
ACAD-1066,Acadia National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Approved,Present,Native,Common,,Species of Concern,111
ACAD-1067,Acadia National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Approved,Present,Native,Common,,Species of Concern,77
ACAD-1124,Acadia National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Common,Resident,Species of Concern,116
ACAD-1141,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern",Approved,Present,Native,Common,Resident,Species of Concern,135
ACAD-1185,Acadia National Park,Bird,Falconiformes,Falconidae,Falco columbarius,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk",Approved,Present,Native,Common,,Species of Concern,49
ACAD-1196,Acadia National Park,Bird,Gaviiformes,Gaviidae,Gavia immer,"Common Loon, Greater Common Loon",Approved,Present,Native,Common,Breeder,Species of Concern,124
ACAD-1222,Acadia National Park,Bird,Passeriformes,Certhiidae,Certhia americana,"Brown Creeper, Eastern Brown Creeper",Approved,Present,Native,Common,Breeder,Species of Concern,181
ACAD-1321,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora ruficapilla,"Eastern Nashville Warbler, Nashville Warbler",Approved,Present,Native,Common,Breeder,Species of Concern,195
ACAD-1324,Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia pusilla,"Wilson's Pileolated Warbler, Wilson's Warbler",Approved,Present,Native,Common,Breeder,Species of Concern,90
ACAD-1369,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,"Great Blue Heron, Northern Great Blue Heron",Approved,Present,Native,Common,,Species of Concern,31
ACAD-1370,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Botaurus lentiginosus,American Bittern,Approved,Present,Native,Common,Breeder,Species of Concern,70
ACAD-1384,Acadia National Park,Bird,Piciformes,Picidae,Dryocopus pileatus,"Northern Pileated Woodpecker, Pileated Woodpecker",Approved,Present,Native,Common,,Species of Concern,149
ACAD-1391,Acadia National Park,Bird,Piciformes,Picidae,Sphyrapicus varius,Yellow-Bellied Sapsucker,Approved,Present,Native,Common,,Species of Concern,64
ACAD-1419,Acadia National Park,Reptile,Squamata,Colubridae,Diadophis punctatus,"Northern Ringneck Snake, Ringneck Snake, Ring-Necked Snake",Approved,Present,Native,Common,Breeder,Species of Concern,88
ACAD-1466,Acadia National Park,Fish,Osmeriformes,Osmeridae,Osmerus mordax,"Common Smelt, Rainbow Smelt, Smelt",Approved,Present,Native,Common,Breeder,Species of Concern,32
ACAD-1542,Acadia National Park,Vascular Plant,Apiales,Apiaceae,Sium suave,Water Parsnip,Approved,Present,Native,Common,,Species of Concern,55
ARCH-1028,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis californicus,California Myotis,Approved,Present,Native,Common,Breeder,Species of Concern,135
ARCH-1035,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Common,Breeder,Species of Concern,96
ARCH-1067,Arches National Park,Bird,Accipitriformes,Accipitridae,Circus cyaneus,Northern Harrier,Approved,Present,Native,Common,Resident,Species of Concern,160
ARCH-1069,Arches National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Common,Resident,Species of Concern,102
ARCH-1131,Arches National Park,Bird,Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Pinyon Jay,Approved,Present,Native,Common,Resident,Species of Concern,122
ARCH-1146,Arches National Park,Bird,Passeriformes,Emberizidae,Pipilo chlorurus,Green-Tailed Towhee,Approved,Present,Native,Common,Migratory,Species of Concern,50
ARCH-1150,Arches National Park,Bird,Passeriformes,Emberizidae,Spizella breweri,Brewer's Sparrow,Approved,Present,Native,Common,Migratory,Species of Concern,154
ARCH-1180,Arches National Park,Bird,Passeriformes,Laniidae,Lanius ludovicianus,Loggerhead Shrike,Approved,Present,Native,Common,Breeder,Species of Concern,188
ARCH-1195,Arches National Park,Bird,Passeriformes,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Present,Native,Common,Resident,Species of Concern,24
BADL-1002,Badlands National Park,Mammal,Artiodactyla,Bovidae,Ovis canadensis,Bighorn Sheep,Approved,Present,Native,Common,Breeder,Species of Concern,140
BADL-1006,Badlands National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Coyote Scat",Approved,Present,Native,Common,Breeder,Species of Concern,36
BADL-1022,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Approved,Present,Native,Common,Breeder,Species of Concern,96
BADL-1067,Badlands National Park,Bird,Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,Approved,Present,Native,Common,Breeder,Species of Concern,73
BADL-1069,Badlands National Park,Bird,Accipitriformes,Accipitridae,Buteo lagopus,Rough-Legged Hawk,Approved,Present,Native,Common,Resident,Species of Concern,40
BADL-1074,Badlands National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,Approved,Present,Native,Common,Resident,In Recovery,77
BADL-1075,Badlands National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Common,Breeder,Species of Concern,100
BADL-1087,Badlands National Park,Bird,Anseriformes,Anatidae,Aythya affinis,Lesser Scaup,Approved,Present,Native,Common,Migratory,Species of Concern,14
BADL-1141,Badlands National Park,Bird,Falconiformes,Falconidae,Falco mexicanus,Prairie Falcon,Approved,Present,Native,Common,Breeder,Species of Concern,120
BADL-1177,Badlands National Park,Bird,Passeriformes,Emberizidae,Ammodramus savannarum,Grasshopper Sparrow,Approved,Present,Native,Common,Breeder,Species of Concern,16
BADL-1237,Badlands National Park,Bird,Passeriformes,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Present,Native,Common,Breeder,Species of Concern,98
BADL-1247,Badlands National Park,Bird,Passeriformes,Parulidae,Wilsonia pusilla,Wilson's Warbler,Approved,Present,Native,Common,Migratory,Species of Concern,194
BADL-1288,Badlands National Park,Bird,Piciformes,Picidae,Picoides pubescens,Downy Woodpecker,Approved,Present,Native,Common,Breeder,Species of Concern,155
BIBE-1089,Big Bend National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Common,Breeder,Species of Concern,143
BIBE-1152,Big Bend National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Present,Native,Common,Migratory,Species of Concern,36
BIBE-1199,Big Bend National Park,Bird,Cuculiformes,Cuculidae,Coccyzus americanus,Yellow-Billed Cuckoo,Approved,Present,Native,Common,Breeder,Threatened,45
BIBE-1207,Big Bend National Park,Bird,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,Approved,Present,Native,Common,Breeder,Species of Concern,10
BIBE-1241,Big Bend National Park,Bird,Passeriformes,Cardinalidae,Piranga rubra,Summer Tanager,Approved,Present,Native,Common,Breeder,Species of Concern,121
BIBE-1267,Big Bend National Park,Bird,Passeriformes,Emberizidae,Melospiza lincolnii,Lincoln's Sparrow,Approved,Present,Native,Common,Resident,Species of Concern,87
BIBE-1272,Big Bend National Park,Bird,Passeriformes,Emberizidae,Pipilo chlorurus,Green-Tailed Towhee,Approved,Present,Native,Common,Resident,Species of Concern,131
BIBE-1276,Big Bend National Park,Bird,Passeriformes,Emberizidae,Spizella breweri,Brewer's Sparrow,Approved,Present,Native,Common,Resident,Species of Concern,149
BIBE-1317,Big Bend National Park,Bird,Passeriformes,Laniidae,Lanius ludovicianus,Loggerhead Shrike,Approved,Present,Native,Common,Breeder,Species of Concern,192
BIBE-1321,Big Bend National Park,Bird,Passeriformes,Mimidae,Toxostoma crissale,Crissal Thrasher,Approved,Present,Native,Common,Breeder,Species of Concern,76
BIBE-1354,Big Bend National Park,Bird,Passeriformes,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Present,Native,Common,Breeder,Species of Concern,180
BIBE-1361,Big Bend National Park,Bird,Passeriformes,Parulidae,Oporornis tolmiei,Macgillivray's Warbler,Approved,Present,Native,Common,Migratory,Species of Concern,26
BIBE-1377,Big Bend National Park,Bird,Passeriformes,Parulidae,Vermivora ruficapilla,Nashville Warbler,Approved,Present,Native,Common,Migratory,Species of Concern,96
BIBE-1380,Big Bend National Park,Bird,Passeriformes,Parulidae,Wilsonia pusilla,Wilson's Warbler,Approved,Present,Native,Common,Migratory,Species of Concern,161
BIBE-1458,Big Bend National Park,Bird,Passeriformes,Vireonidae,Vireo vicinior,Gray Vireo,Approved,Present,Native,Common,Breeder,Species of Concern,134
BIBE-1460,Big Bend National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,Great Blue Heron,Approved,Present,Native,Common,Breeder,Species of Concern,15
BIBE-1475,Big Bend National Park,Bird,Pelecaniformes,Threskiornithidae,Plegadis chihi,White-Faced Ibis,Approved,Present,Native,Common,Migratory,Species of Concern,199
BIBE-1497,Big Bend National Park,Bird,Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,Approved,Present,Native,Common,Breeder,Species of Concern,148
BIBE-1576,Big Bend National Park,Amphibian,Anura,Scaphiopodidae,Scaphiopus couchii,Couch's Spadefoot,Approved,Present,Native,Common,Breeder,Species of Concern,108
BISC-1029,Biscayne National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-Shinned Hawk,Approved,Present,Native,Common,Migratory,Species of Concern,35
BISC-1032,Biscayne National Park,Bird,Accipitriformes,Accipitridae,Buteo lineatus,Red-Shouldered Hawk,Approved,Present,Native,Common,Resident,Species of Concern,158
BISC-1038,Biscayne National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Common,Resident,Species of Concern,27
BISC-1040,Biscayne National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,Osprey,Approved,Present,Native,Common,Breeder,Species of Concern,129
BISC-1067,Biscayne National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Common,Resident,Species of Concern,169
BISC-1073,Biscayne National Park,Bird,Charadriiformes,Laridae,Rynchops niger,Black Skimmer,Approved,Present,Native,Common,Resident,Species of Concern,104
BISC-1111,Biscayne National Park,Bird,Columbiformes,Columbidae,Patagioenas leucocephala,White-Crowned Pigeon,Approved,Present,Native,Common,Breeder,Species of Concern,142
BISC-1120,Biscayne National Park,Bird,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,Approved,Present,Native,Common,Migratory,Species of Concern,114
BISC-1224,Biscayne National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,"Great Blue Heron, Great White Heron",Approved,Present,Native,Common,Breeder,Species of Concern,174
BISC-1234,Biscayne National Park,Bird,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,Brown Pelican,Approved,Present,Native,Common,Breeder,In Recovery,47
BISC-1262,Biscayne National Park,Reptile,Crocodilia,Crocodylidae,Crocodylus acutus,"American Crocodile, Central American Alligator",Approved,Present,Native,Common,Resident,Threatened,43
BISC-1290,Biscayne National Park,Reptile,Squamata,Viperidae,Crotalus adamanteus,"Eastern Diamondback Rattlesnake, Eastern Diamond-Backed Rattlesnake",Approved,Present,Native,Common,Resident,Under Review,43
BLCA-1269,Black Canyon of the Gunnison National Park,Fish,Scorpaeniformes,Cottidae,Cottus bairdii,Mottled Sculpin,Approved,Present,Native,Common,Breeder,Species of Concern,102
BRCA-1061,Bryce Canyon National Park,Mammal,Rodentia,Sciuridae,Cynomys parvidens,Utah Prairie Dog,Approved,Present,Native,Common,Breeder,Threatened,46
BRCA-1076,Bryce Canyon National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Common,Breeder,Species of Concern,168
BRCA-1111,Bryce Canyon National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Present,Native,Common,Breeder,Species of Concern,55
BRCA-1254,Bryce Canyon National Park,Bird,Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,Approved,Present,Native,Common,Breeder,Species of Concern,98
BRCA-1587,Bryce Canyon National Park,Vascular Plant,Boraginales,Boraginaceae,Cryptantha ochroleuca,Yellowish Cryptanth,Approved,Present,Native,Common,,Species of Concern,149
CANY-1024,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,Approved,Present,Native,Common,Resident,Species of Concern,20
CANY-1026,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Idionycteris phyllotis,Allen's Big-Eared Bat,Approved,Present,Native,Common,Resident,Species of Concern,10
CANY-1033,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis thysanodes,Fringed Myotis,Approved,Present,Native,Common,Resident,Species of Concern,140
CANY-1076,Canyonlands National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Common,Breeder,Species of Concern,158
